Image Number,Page Name,Supplied Page URL,Final Canonical URL,Export Filename,Uploaded Media URL,Media or Attachment ID,Alt Text,Featured Image Updated,OG Image Updated,OG Image Alt Updated,Twitter Image Updated,Twitter Image Alt Updated,Image Width,Image Height,HTTP Status,Public Page Verified,LinkedIn Preview Verified,Implementation Status,Notes
01,Homepage,https://ambisecure.ambimat.com/,https://ambisecure.ambimat.com/,ambisecure-home-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-home-1200x630.png,N/A (static site - no media DB),"AmbiSecure secure-element hub linking smart card, USB key, IoT device, vehicle, government credential and cloud app through a hardware-rooted trust chain.",N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
02,Products directory,https://ambisecure.ambimat.com/products/,https://ambisecure.ambimat.com/products/,ambisecure-products-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-products-1200x630.png,N/A (static site - no media DB),"AmbiSecure product family - smart card, USB key, tappable NFC, embedded secure element and JavaCard - arranged around one shared identity core.",N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
03,OnePass Card,https://ambisecure.ambimat.com/products/onepass-card/,https://ambisecure.ambimat.com/products/onepass-card/,ambisecure-products-onepass-card-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-products-onepass-card-1200x630.png,N/A (static site - no media DB),AmbiSecure OnePass Card combining a corporate badge with contactless FIDO2 authentication over a WebAuthn trust path.,N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
04,OnePass Bio Card,https://ambisecure.ambimat.com/products/onepass-bio-card/,https://ambisecure.ambimat.com/products/onepass-bio-card/,ambisecure-products-onepass-bio-card-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-products-onepass-bio-card-1200x630.png,N/A (static site - no media DB),"AmbiSecure OnePass Bio Card capturing, storing and matching a fingerprint entirely on the card before authentication.",N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
05,OnePass USB Key,https://ambisecure.ambimat.com/products/onepass-usb-key/,https://ambisecure.ambimat.com/products/onepass-usb-key/,ambisecure-products-onepass-usb-key-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-products-onepass-usb-key-1200x630.png,N/A (static site - no media DB),"AmbiSecure OnePass USB Key providing origin-bound, hardware-backed authentication to a trusted app with no reusable secret.",N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
06,BioKey,https://ambisecure.ambimat.com/products/biokey/,https://ambisecure.ambimat.com/products/biokey/,ambisecure-products-biokey-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-products-biokey-1200x630.png,N/A (static site - no media DB),AmbiSecure BioKey verifying a fingerprint on the hardware security key itself before completing FIDO authentication.,N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,URL confirmed live at /products/biokey/; Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
07,IoT Security Co-Processor,https://ambisecure.ambimat.com/products/iot-security-coprocessor/,https://ambisecure.ambimat.com/products/iot-security-coprocessor/,ambisecure-products-iot-security-coprocessor-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-products-iot-security-coprocessor-1200x630.png,N/A (static site - no media DB),AmbiSecure IoT security co-processor isolating device keys in a secure element separate from the application MCU.,N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
08,JavaCard Applet Platform,https://ambisecure.ambimat.com/products/javacard-applets/,https://ambisecure.ambimat.com/products/javacard-applets/,ambisecure-products-javacard-applets-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-products-javacard-applets-1200x630.png,N/A (static site - no media DB),"AmbiSecure JavaCard platform loading FIDO, PIV, OpenPGP and NDEF applets onto a tamper-resistant secure element.",N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
09,Solutions directory,https://ambisecure.ambimat.com/solutions/,https://ambisecure.ambimat.com/solutions/,ambisecure-solutions-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-solutions-1200x630.png,N/A (static site - no media DB),"AmbiSecure hardware root of trust anchoring workforce, connected-device, embedded and PKI solution areas.",N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
10,Passwordless Enterprise,https://ambisecure.ambimat.com/solutions/passwordless-enterprise/,https://ambisecure.ambimat.com/solutions/passwordless-enterprise/,ambisecure-solutions-passwordless-enterprise-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-solutions-passwordless-enterprise-1200x630.png,N/A (static site - no media DB),AmbiSecure hardware authenticator replacing a terminated password path with a device-bound public-key path to enterprise access.,N/A (no CMS field; og:image used),Yes,Yes,Yes,Yes,1200,630,"200 (page, verified live pre-deploy)",Pending deploy,"No - manual, pending deploy",Complete with note,Static site: no CMS media library; og:image is the featured-image equivalent. Live image URL 200 pending deploy.
