Record Number,Section,Page Name,Discovered URL,Final URL,Canonical URL,URL Slug,HTTP Status,Indexable,Page Type,Primary Topic,Secondary Topics,Category,Publication Date,Last Modified,Author,H1,Meta Description,Opening Summary,Core Message,Primary Audience,Current Featured Image URL,Current Image Filename,Current Image Width,Current Image Height,Current Alt Text,Current OG Image,Current Twitter Image,Uses resources.png,Uses blog.png,Uses Other Generic Image,Needs New Image,Design Priority,Approved Headline,Alternative Headline,Category Label,Diagram Type,Visual Concept,Avoid List,Proposed Alt Text,Export Filename,Visual Similarity Group,Design Status,Notes
1,Resource,Sequence Diagram Generator,https://ambisecure.ambimat.com/resources/tools/sequence-diagram-generator/,https://ambisecure.ambimat.com/resources/tools/sequence-diagram-generator/,https://ambisecure.ambimat.com/resources/tools/sequence-diagram-generator/,resources/tools/sequence-diagram-generator,200,Yes,ENGINEERING TOOL,Other,FIDO2; V2X; SIM/eSIM,Protocol engineering tooling,,2026-06-19,,Sequence Diagram Generator,"Client-side sequence diagram generator for security engineers. WebSequenceDiagrams syntax in, clean SVG/PNG out. Templates for FIDO2, SCP03, eSIM SGP.32, V2X PKI.","Client-side sequence diagram generator for security engineers. WebSequenceDiagrams syntax in, clean SVG/PNG out. Templates for FIDO2, SCP03, eSIM SGP.32, V2X PKI.","A browser-only sequence diagram generator whose templates match the real ceremonies security engineers review — FIDO2 assertion, SCP03 personalisation, eSIM SGP.32 download, V2X PKI enrolment — so no source ever leaves the machine to get a diagram drawn.",Security architect,https://ambisecure.ambimat.com/assets/img/og/default.png,default.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/default.png,https://ambisecure.ambimat.com/assets/img/og/default.png,No,No,Yes,Yes,2,Sequence diagrams for security ceremonies,"FIDO2 to SGP.32, drawn locally",TOOL,TECHNICAL WORKBENCH,"Dominant object is a two-pane workbench: a monospace source pane on the left holding WebSequenceDiagrams-style lines, a rendered lifeline diagram on the right. The flow is source text to in-browser parse and layout to SVG, drawn as a short arrow that never leaves an enclosing browser-boundary frame. Five nodes maximum: source pane, parse/layout step, rendered diagram, template selector chip strip (FIDO2 / SCP03 / SGP.32 / V2X), Export SVG control. Nothing is transmitted — the boundary frame is the point, and any server or cloud glyph is outside it and crossed. Allowed labels: title, A -> B:, alt / else / end, autonumber, Export SVG. Must not imply the tool checks, validates, or simulates a protocol; it only draws what is typed.","Do not show a cloud, server, or upload arrow receiving the diagram source — all parsing and rendering is in-browser; Do not draw the FIDO2 template lifelines with a private key or credential secret travelling from the authenticator to the relying party; Do not imply the generator validates or simulates a ceremony — it renders text, it does not check protocol correctness; Do not brand the syntax as WebSequenceDiagrams.com or Mermaid — the tool implements a subset, not either product","Two-pane workbench with diagram source left and a rendered FIDO2 lifeline flow right, parsed inside the browser boundary with no source ever uploaded.",ambisecure-resources-tools-sequence-diagram-generator-1200x630.png,VSG-DIAGRAM-WORKBENCH,Not started,Template list includes UPI and banking-login flows that sit outside the core security narrative; keep the image on the FIDO2 / SCP03 / SGP.32 / V2X templates.
2,Resource,IEEE 1609.2 V2X Certificate Parser,https://ambisecure.ambimat.com/resources/tools/ieee-1609-2-parser/,https://ambisecure.ambimat.com/resources/tools/ieee-1609-2-parser/,https://ambisecure.ambimat.com/resources/tools/ieee-1609-2-parser/,resources/tools/ieee-1609-2-parser,200,Yes,PARSER,V2X,PKI; Connected mobility; Certificate lifecycle,V2X security engineering,,2026-06-19,,IEEE 1609.2 V2X Certificate Parser,"Client-side IEEE 1609.2 cert parser for V2X / ITS PKI. Decodes hex, Base64, and PEM-wrapped certificates into a field tree with standards references.","Client-side IEEE 1609.2 cert parser for V2X / ITS PKI. Decodes hex, Base64, and PEM-wrapped certificates into a field tree with standards references.","A hand-rolled client-side COER decoder that turns an IEEE 1609.2 V2X certificate into an inspectable field tree, stopping cleanly rather than guessing at fields it does not cover.",Automotive-security engineer,https://ambisecure.ambimat.com/assets/img/og/connected-mobility.png,connected-mobility.png,1200,630,AmbiSecure — V2X PKI,https://ambisecure.ambimat.com/assets/img/og/connected-mobility.png,https://ambisecure.ambimat.com/assets/img/og/connected-mobility.png,No,No,Yes,Yes,1,"V2X Certificates Are COER, Not DER",Enrolment Credential or Pseudonymous Certificate?,TOOL,CERTIFICATE STRUCTURE,"Dominant object: a single CertificateBase octet ribbon unrolling left-to-right into an indented field tree, with the ribbon drawn as continuous schema-driven octets rather than tagged TLV boxes. Flow: bytes enter at the paste edge and resolve into exactly five branch nodes — IssuerIdentifier, CertificateId (named / linkageData / binaryId), ValidityPeriod (Time32 + Duration), VerificationKeyIndicator (verificationKey vs reconstructionValue), and the trailing ECDSA signature over P-256/P-384. Everything happens inside a browser frame: the pasted bytes stay local and no arrow leaves the frame toward any CA, HSM, or network. One branch is deliberately hatched and tagged 'present-but-opaque' with a small 'decoder stopped' marker where GeographicRegion and PSID/SSP permissions would sit. Allowed labels: COER, ToBeSignedCertificate, VerificationKeyIndicator, Time32, P-256, decoder stopped. Must not imply that the tool verifies the signature or judges compliance.","Do not show a signature being verified or a green valid tick — the parser never checks signatures; Do not draw X.509/DER tag-length-value boxes, since COER strips per-field tags and relies on the compiled schema; Do not show bytes travelling to a server or PKI backend — parsing is entirely in-browser; Do not depict GeographicRegion or SequenceOfPsidSsp as decoded fields — they are flagged present-but-opaque; Do not equate a long-lived Enrolment Credential with a short-lived Pseudonymous Certificate","Field tree unrolled from a COER-encoded 1609.2 certificate in AmbiSecure's in-browser parser, showing issuer, validity and key indicator — no signature check.",ambisecure-resources-tools-ieee-1609-2-parser-1200x630.png,VSG-CERT-STRUCTURE,Not started,Only lightweight client-side 1609.2 COER decoder of its kind; strong differentiation and internal linking to the V2X PKI pillar and the sister chain validator. Current OG image reuses connected-mobility.png and should be replaced.
3,Resource,V2X Certificate Chain Validator,https://ambisecure.ambimat.com/resources/tools/v2x-cert-chain-validator/,https://ambisecure.ambimat.com/resources/tools/v2x-cert-chain-validator/,https://ambisecure.ambimat.com/resources/tools/v2x-cert-chain-validator/,resources/tools/v2x-cert-chain-validator,200,Yes,ENGINEERING TOOL,V2X,PKI; Certificate lifecycle; Connected mobility,V2X PKI,,2026-06-19,,V2X Certificate Chain Validator,"Client-side structural validator for IEEE 1609.2 V2X cert chains. Checks parse, issuer linkage by HashedId8, validity, signature schemes.","Client-side structural validator for IEEE 1609.2 V2X cert chains. Checks parse, issuer linkage by HashedId8, validity, signature schemes.",A client-side structural sanity check for IEEE 1609.2 certificate chains that confirms issuer linkage by HashedId8 without ever claiming cryptographic validation.,Automotive-security engineer,https://ambisecure.ambimat.com/assets/img/og/connected-mobility.png,connected-mobility.png,1200,630,AmbiSecure — V2X PKI,https://ambisecure.ambimat.com/assets/img/og/connected-mobility.png,https://ambisecure.ambimat.com/assets/img/og/connected-mobility.png,No,No,Yes,Yes,1,Link V2X certificates by HashedId8,"IEEE 1609.2 chains, structurally checked",TOOL,TRUST CHAIN,"Dominant object: a three-link vertical chain of IEEE 1609.2 certificates drawn as COER byte blocks — Root CA, AA/EA intermediate, PC/EC end-entity — deliberately not X.509 cards. Flow: each lower block's issuer field emits an 8-byte tag matched against a SHA-256 digest strip computed over the block above it; five nodes only — the three certificates, the digest strip, and a neutral linkage-matched marker. All hashing sits inside a browser frame with no outbound arrow: certificate bytes never leave the page and WebCrypto does the digest locally. Labels allowed: HashedId8, SHA-256, Root CA, AA/EA, PC/EC. Must not imply signature verification, revocation, PSID/SSP permission checks, or a time-validity verdict. Within VSG-CERT-STRUCTURE this is the only hash-linked COER chain; name-based linkage belongs to the X.509 chain viewer.",Do not show ECDSA signature verification or a cryptographic 'valid' verdict — linkage is by HashedId8 only; Do not draw X.509 cards — IEEE 1609.2 certificates are COER-encoded; Do not imply revocation or PSID/SSP permission checking; Do not show certificate bytes being sent to a server,"Three IEEE 1609.2 certificates stacked as COER blocks, linked upward by HashedId8 digests — AmbiSecure's structural check, not signature verification.",ambisecure-resources-tools-v2x-cert-chain-validator-1200x630.png,VSG-CERT-STRUCTURE,Not started,Structural-only scope is the page's own emphasis — the image must never read as a cryptographic gate. Tool is capped at 3 chain levels.
4,Resource,ATR Parser,https://ambisecure.ambimat.com/resources/tools/atr-parser/,https://ambisecure.ambimat.com/resources/tools/atr-parser/,https://ambisecure.ambimat.com/resources/tools/atr-parser/,resources/tools/atr-parser,200,Yes,PARSER,ATR,Smart cards; APDU,Smart-card engineering,,2026-06-19,,ATR Parser,"Free, client-side ATR parser. Decode TS, T0, TA/TB/TC/TD interface bytes, historical bytes, and TCK from any smart-card ATR. Nothing leaves your browser.","Free, client-side ATR parser. Decode TS, T0, TA/TB/TC/TD interface bytes, historical bytes, and TCK from any smart-card ATR. Nothing leaves your browser.",A client-side parser that turns a raw ISO/IEC 7816-3 Answer-To-Reset into readable card capabilities without sending a single byte to a server.,Smart-card engineer,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,1,What your card says at reset,"TS to TCK, decoded locally",TOOL,DATA PARSER,"Dominant object: a contact smart card seated in a reader slot, with a single horizontal ribbon of ATR bytes streaming out of the contact pad from left to right at the instant of a cold reset — this is the reset-moment framing that separates it from every other parser in the group. The flow reads strictly in ATR emission order, with exactly five labelled nodes tapping the ribbon: TS (direct convention, 3B), T0 (interface-byte map), TA1 (clock-rate / bit-rate conversion Fi/Di), TD1 (protocol offered — T=0 byte-oriented, T=1 block-oriented), and the trailing Historical Bytes block with an optional TCK checksum. Inside the hardware stays the card OS and any keys; what communicates externally is only the ATR byte string itself, travelling card-to-reader. Allowed labels: TS, T0, TA1, TD1, Historical Bytes, TCK, T=0, T=1, ISO/IEC 7816-3, 3B. Must not imply the parser talks to the card, drives the reader, or judges the card's security.","Do not show a contactless antenna or RF field — the ATR is a contact-interface (ISO/IEC 7816-3) event; Do not draw the byte ribbon flowing to a cloud or server, parsing is entirely in-browser; Do not decode the historical bytes into fixed meanings — their format is card-specific and issuer-defined; Do not show TCK as mandatory, it is present only for T=1; Do not present the parser as validating or certifying the card","AmbiSecure ATR parser diagram showing a smart card emitting TS, T0, TA1, TD1 and historical bytes at reset, decoded in-browser to reveal protocol and timing.",ambisecure-resources-tools-atr-parser-1200x630.png,VSG-BYTE-PARSER,Not started,Group variation: only parser in the batch anchored to the reset moment and the contact pad; node set is ATR interface bytes exclusively.
5,Resource,APDU Parser,https://ambisecure.ambimat.com/resources/tools/apdu-parser/,https://ambisecure.ambimat.com/resources/tools/apdu-parser/,https://ambisecure.ambimat.com/resources/tools/apdu-parser/,resources/tools/apdu-parser,200,Yes,PARSER,APDU,Smart cards; Secure Elements,Smart-card engineering,,2026-06-19,,APDU Parser,"Free, client-side APDU parser. Decode CLA / INS / P1 / P2 / Lc / Le for Case 1-4 (short and extended length), or response APDUs with status word lookup.","Free, client-side APDU parser. Decode CLA / INS / P1 / P2 / Lc / Le for Case 1-4 (short and extended length), or response APDUs with status word lookup.","A client-side parser that splits any command or response APDU into its ISO/IEC 7816-4 fields and resolves the status word, so engineers can read a reader trace at a glance.",Smart-card engineer,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,1,"CLA INS P1 P2, decoded",From 6A82 to root cause,TOOL,DATA PARSER,"Dominant object: a two-lane message exchange between a terminal and a card — an outbound command APDU strip above, an inbound response strip below — rather than a single byte ribbon, which is what distinguishes it from the ATR and ATS parsers in this group. The command lane carries the worked example 00 A4 04 00 07 A0000002471001 with exactly four labelled header segments (CLA, INS = A4 SELECT, P1/P2 = 04 00 select-by-name, Lc + data = 7-byte AID) and the return lane terminates in a fifth node, the SW1 SW2 status word, showing 90 00 resolved as success and 6A 82 as file-or-application-not-found. Inside the card stays the file system, applet and keys; what communicates externally is only the APDU pair crossing the terminal-card boundary. Allowed labels: CLA, INS, P1, P2, Lc, Le, SW1, SW2, 90 00, 6A 82, A4 SELECT, ISO/IEC 7816-4. Must not imply the tool sends APDUs to a card or a server.","Do not show Lc and Le present together unless the strip is labelled case 4 — cases 1-3 omit one or both; Do not draw extended-length fields as 1 byte, they are 3 bytes with a leading 0x00; Do not interpret proprietary CLA ranges, the parser explicitly leaves those uninterpreted; Do not show the trace uploading to a server for decoding; Do not present the status-word lookup as a security verdict on the card","AmbiSecure APDU parser visual splitting a SELECT command into header, AID data and a 9000 or 6A82 status word returned by the card, all parsed in the browser.",ambisecure-resources-tools-apdu-parser-1200x630.png,VSG-BYTE-PARSER,Not started,Group variation: only parser using a bidirectional command/response pair; node set is APDU header fields plus SW1/SW2.
6,Resource,TLV Parser,https://ambisecure.ambimat.com/resources/tools/tlv-parser/,https://ambisecure.ambimat.com/resources/tools/tlv-parser/,https://ambisecure.ambimat.com/resources/tools/tlv-parser/,resources/tools/tlv-parser,200,Yes,PARSER,BER-TLV,Smart cards; Personalization,Smart-card engineering,,2026-06-19,,BER-TLV Parser,"Free, client-side BER-TLV parser with an EMV tag dictionary. Walks tag/length/value trees of any depth. Nothing leaves your browser.","Free, client-side BER-TLV parser with an EMV tag dictionary. Walks tag/length/value trees of any depth. Nothing leaves your browser.","A client-side BER-TLV parser that walks tag/length/value trees to any depth and names known EMV tags, so engineers can find the data object they need inside a card response.",Smart-card engineer,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,1,Walk the BER-TLV tree,"EMV tag 6F, fully unfolded",TOOL,DATA PARSER,"Dominant object: a vertical nesting tree that recurses inward — a flat byte run at the top unfolding into indented parent/child branches — the only recursive-container concept in this group, versus the linear ribbons and lanes used by the ATR and APDU parsers. The relationship shown is containment, not sequence: exactly five nodes, starting at 6F (File Control Information template, constructed) whose value opens into 84 (DF Name, primitive) and A5 (FCI proprietary template, constructed), which nests one level deeper, with a fifth node showing an unknown proprietary tag rendered as bare hex with correct length but no friendly name. A small callout marks bit 6 of the first tag byte as the constructed/primitive discriminator. Nothing hardware-side is depicted; what enters is a pasted byte string from a reader trace, and it never leaves the browser. Allowed labels: 6F, 84, A5, tag, length, value, constructed, primitive, bit 6, EMV, ISO/IEC 8825-1. Must not imply the parser validates an EMV transaction or authorises anything.","Do not draw the TLV structure as a flat list — nesting depth is the whole point of this tool; Do not label every tag with a friendly name, proprietary tags are shown as hex only; Do not show a primitive tag such as 84 containing child TLVs; Do not present the EMV tag dictionary as an issuer-authoritative or certified source; Do not imply the parser performs EMV cryptogram verification","Nested tag-length-value tree in AmbiSecure's BER-TLV parser, unfolding EMV template 6F into DF Name and FCI proprietary children with client-side decoding.",ambisecure-resources-tools-tlv-parser-1200x630.png,VSG-BYTE-PARSER,Not started,Group variation: only concept built on recursive containment and depth; node set is EMV constructed/primitive tags.
7,Resource,X.509 Certificate Viewer,https://ambisecure.ambimat.com/resources/tools/x509-viewer/,https://ambisecure.ambimat.com/resources/tools/x509-viewer/,https://ambisecure.ambimat.com/resources/tools/x509-viewer/,resources/tools/x509-viewer,200,Yes,PARSER,PKI,Certificate lifecycle; Device identity,PKI & certificates,,2026-06-19,,X.509 Certificate Viewer,"Decode an X.509 certificate (or chain) into subject, issuer, validity, public key, signature algorithm, and all extensions — fully client-side, no upload.","Decode an X.509 certificate (or chain) into subject, issuer, validity, public key, signature algorithm, and all extensions — fully client-side, no upload.","Decodes an X.509 certificate in-browser so engineers can see the fields that explain a rejection — SANs, validity, key usage, basic constraints — without uploading anything.",PKI engineer,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,1,Read what a certificate actually asserts,Why your X.509 certificate got rejected,TOOL,CERTIFICATE STRUCTURE,"Dominant object: one X.509 certificate rendered as an ASN.1 SEQUENCE card fanning open into its three top-level parts. Flow: tbsCertificate expands rightward into field chips — Subject/Issuer, Validity, Public Key, Extensions (SAN, keyUsage/EKU, basicConstraints) — while signatureAlgorithm and signatureValue sit inert and greyed at the bottom to show they are displayed, not checked; five nodes max. The card sits inside a browser viewport outline with a struck-through upload arrow: parsing is local and no certificate bytes leave the page. Labels allowed: tbsCertificate, RFC 5280, CA:TRUE / CA:FALSE, SAN, notBefore/notAfter. Must not imply chain validation, trust or revocation status. Within VSG-CERT-STRUCTURE this is the single-certificate field explosion, distinct from the chain ladder and the V2X hash chain.","Do not show a green 'trusted' padlock or chain-validated verdict — the viewer verifies nothing; Do not draw a private key inside the certificate — only the public key is present; Do not label PEM and DER as certificate formats — X.509 is the format, they are encodings; Do not depict the certificate being uploaded","An X.509 certificate fanned open into subject, validity, key and extension chips in AmbiSecure's in-browser viewer — it reads assertions, it does not trust them.",ambisecure-resources-tools-x509-viewer-1200x630.png,VSG-CERT-STRUCTURE,Not started,
8,Resource,PEM ↔ DER Converter,https://ambisecure.ambimat.com/resources/tools/pem-der/,https://ambisecure.ambimat.com/resources/tools/pem-der/,https://ambisecure.ambimat.com/resources/tools/pem-der/,resources/tools/pem-der,200,Yes,ENGINEERING TOOL,PKI,Certificate lifecycle,PKI encoding,,2026-06-19,,PEM ↔ DER Converter,"Free, client-side PEM ↔ DER converter for certificates, CSRs, public/private keys. PEM block detection, multi-block support, downloadable output.","Free, client-side PEM ↔ DER converter for certificates, CSRs, public/private keys. PEM block detection, multi-block support, downloadable output.","Converts certificates, CSRs and keys between PEM armour and raw DER in the browser, changing only the container and never the content.",PKI engineer,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,2,PEM is DER in base64 armour,"Same bytes, different container",TOOL,DATA PARSER,"Dominant object: a single DER byte-run shown twice — once as raw hex, once wrapped in base64 armour — joined by a two-headed arrow with an equals sign between them to make 'same bytes' explicit. Three primary nodes: the DER hex block, the -----BEGIN/END----- frame, and the PEM label chip (CERTIFICATE, CERTIFICATE REQUEST, PRIVATE KEY); a fourth node, an encrypted PRIVATE KEY block, is greyed and padlocked to show the converter swaps container only and never decrypts. Everything renders inside a browser frame with no network element — key material stays local. Labels allowed: DER, PEM, RFC 7468, X.690, and the label list. Must not imply re-encoding alters, re-signs or validates content. Within VSG-ENCODING-CONVERTER this is the symmetric two-way equality; the base64 decoder instead shows a detection funnel.",Do not imply the converter can decrypt an encrypted private key; Do not present PEM and DER as different certificate formats — the DER bytes are identical; Do not show a key or certificate being uploaded; Do not suggest conversion changes or re-signs the content,"One DER byte-run shown as raw hex and as base64 armour with an equals sign between: AmbiSecure's converter swaps the container, never the content.",ambisecure-resources-tools-pem-der-1200x630.png,VSG-ENCODING-CONVERTER,Not started,
9,Resource,CSR Decoder,https://ambisecure.ambimat.com/resources/tools/csr-decoder/,https://ambisecure.ambimat.com/resources/tools/csr-decoder/,https://ambisecure.ambimat.com/resources/tools/csr-decoder/,resources/tools/csr-decoder,200,Yes,PARSER,PKI,Certificate lifecycle,PKI & certificates,,2026-06-19,,PKCS#10 CSR Decoder,"Decode a PKCS#10 Certificate Signing Request — subject, public key, requested extensions, signature algorithm. Client-side only, no upload.","Decode a PKCS#10 Certificate Signing Request — subject, public key, requested extensions, signature algorithm. Client-side only, no upload.","Decodes a PKCS#10 CSR client-side so you can confirm the subject DN, key type and requested SANs before a CA turns a typo into an issued certificate.",PKI engineer,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,2,Decode your CSR before you submit,A CSR carries the public key only,TOOL,CERTIFICATE STRUCTURE,"Dominant object: a PKCS#10 CSR drawn as a self-signed envelope, split into CertificationRequestInfo above and its signatureAlgorithm plus signature below. Flow: CertificationRequestInfo opens into three chips — subject DN, public key (algorithm + size), requestedExtensions/SAN list — and an arrow points toward a CA silhouette at the frame edge that is dimmed and unconnected, because the tool never contacts a CA; five nodes total. A private-key glyph sits outside the envelope, crossed out, since a CSR never carries one; parsing runs locally with no upload path. Labels allowed: RFC 2986, CertificationRequestInfo, CN, SAN. Must not imply the self-signature is verified or that submission happens here. Varies from the X.509 viewer by centring a request rather than an issued certificate.",Do not draw a private key inside the CSR — only the public key is present; Do not show the tool contacting a CA or issuing a certificate; Do not imply the self-signature is checked or that private-key possession is proven; Do not give Common Name more visual weight than the SAN list,"A PKCS#10 request opened into subject DN, public key and requested SANs, private key crossed out beside it — AmbiSecure's client-side CSR decoder.",ambisecure-resources-tools-csr-decoder-1200x630.png,VSG-CERT-STRUCTURE,Not started,
10,Resource,Certificate Fingerprint,https://ambisecure.ambimat.com/resources/tools/cert-fingerprint/,https://ambisecure.ambimat.com/resources/tools/cert-fingerprint/,https://ambisecure.ambimat.com/resources/tools/cert-fingerprint/,resources/tools/cert-fingerprint,200,Yes,CALCULATOR,PKI,Certificate lifecycle; Attestation,Certificate hashing & pinning,,2026-06-19,,Certificate Fingerprint Generator,"Compute SHA-1, SHA-256, SHA-384, and SHA-512 fingerprints of an X.509 certificate. Uses Web Crypto. Fully client-side.","Compute SHA-1, SHA-256, SHA-384, and SHA-512 fingerprints of an X.509 certificate. Uses Web Crypto. Fully client-side.","Computes SHA-1/256/384/512 fingerprints over a certificate's DER bytes in the browser via Web Crypto, for pinning and allow-list matching.",PKI engineer,https://ambisecure.ambimat.com/assets/img/og/resources.png,resources.png,1200,630,AmbiSecure — Hardware-rooted security,https://ambisecure.ambimat.com/assets/img/og/resources.png,https://ambisecure.ambimat.com/assets/img/og/resources.png,Yes,No,No,Yes,2,"Hash the DER, not the key",SHA-256 fingerprints for certificate pinning,TOOL,TECHNICAL WORKBENCH,"Dominant object: a certificate's DER byte-run feeding a hash block and emerging as a colon-grouped digest strip. Flow: four nodes — DER bytes, an algorithm selector chip (SHA-256 emphasised, SHA-1 present but dimmed and tagged legacy), the resulting fingerprint, and an allow-list panel where the digest is compared. A fifth element, the public key drawn as a small chip inside the certificate, runs a dotted line to a second and visibly different digest — that contrast is the whole point: the fingerprint identifies the certificate, not the key. Hashing happens inside the browser via Web Crypto; no server node appears anywhere. Labels allowed: SHA-1/SHA-256/SHA-384/SHA-512, DER, Web Crypto. Must not imply the fingerprint proves authenticity, validity or issuance.",Do not depict the fingerprint as a signature or a validity verdict — it is a hash of DER bytes; Do not present SHA-1 as a recommended default; Do not conflate certificate pinning with key pinning — reissuing the same key changes the cert fingerprint; Do not show bytes sent to a server for hashing,"Certificate DER bytes entering a Web Crypto hash block and leaving as a digest strip, with SHA-1 dimmed as legacy — AmbiSecure's client-side fingerprint tool.",ambisecure-resources-tools-cert-fingerprint-1200x630.png,VSG-CRYPTO-CALC,Not started,Body mentions pinning AAGUIDs in FIDO MDS allow-lists; a FIDO cue is optional but must not imply attestation verification.
