url,canonical,title,page_type,indexable,og_image,twitter_image,local_path,img_exists,img_mime,img_w,img_h,img_bytes,og_image_alt,twitter_image_alt,unique_or_shared,is_approved,approved_file,classification,problems
https://ambisecure.ambimat.com/about/certifications/,https://ambisecure.ambimat.com/about/certifications/,Certifications &amp; Standards &mdash; AmbiSecure | Trust documents,company,True,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-about-certifications-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-about-certifications-1200x630.png,assets/img/og/featured/ambisecure-about-certifications-1200x630.png,True,image/png,1200,630,57413,"Architecture stack for Certifications, standards posture, and trust documents., layered from frameworks — nist, eidas, cra down to a hardware root of…","Architecture stack for Certifications, standards posture, and trust documents., layered from frameworks — nist, eidas, cra down to a hardware root of…",unique,False,,Brand-consistent (generated featured art),
https://ambisecure.ambimat.com/about/,https://ambisecure.ambimat.com/about/,About AmbiSecure &mdash; hardware-rooted security,company,True,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-about-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-about-1200x630.png,assets/img/og/featured/ambisecure-about-1200x630.png,True,image/png,1200,630,80226,"AmbiSecure embedded-engineering and secure-element development work grounded in Ahmedabad, India.","AmbiSecure embedded-engineering and secure-element development work grounded in Ahmedabad, India.",unique,True,ambisecure-about-1200x630.png,Approved reference image,
https://ambisecure.ambimat.com/blog/ambisecure-products-cra-readiness/,https://ambisecure.ambimat.com/blog/ambisecure-products-cra-readiness/,AmbiSecure Products &amp; CRA Readiness | AmbiSecure,blog,True,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-blog-ambisecure-products-cra-readiness-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-blog-ambisecure-products-cra-readiness-1200x630.png,assets/img/og/featured/ambisecure-blog-ambisecure-products-cra-readiness-1200x630.png,True,image/png,1200,630,47894,"Mapping table pairing CRA-aligned security needs with AmbiSecure building blocks — AmbiSEC device identity, OnePass credentials and BioKey user authentication.","Mapping table pairing CRA-aligned security needs with AmbiSecure building blocks — AmbiSEC device identity, OnePass credentials and BioKey user authentication.",unique,False,,Brand-consistent (generated featured art),
https://ambisecure.ambimat.com/blog/apdu-from-first-principles/,https://ambisecure.ambimat.com/blog/apdu-from-first-principles/,"APDU from First Principles — CLA, INS, P1/P2, SW | AmbiSecure",blog,True,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-blog-apdu-from-first-principles-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-blog-apdu-from-first-principles-1200x630.png,assets/img/og/featured/ambisecure-blog-apdu-from-first-principles-1200x630.png,True,image/png,1200,630,54760,"Byte-level anatomy of an ISO/IEC 7816-4 command APDU across its four cases, showing how CLA, INS, P1/P2, Lc, Le and SW1/SW2 frame every smart-card exchange.","Byte-level anatomy of an ISO/IEC 7816-4 command APDU across its four cases, showing how CLA, INS, P1/P2, Lc, Le and SW1/SW2 frame every smart-card exchange.",unique,False,,Brand-consistent (generated featured art),
https://ambisecure.ambimat.com/blog/archive/common-misconceptions-about-2fa/,https://ambisecure.ambimat.com/blog/archive/common-misconceptions-about-2fa/,Common Misconceptions About 2FA | AmbiSecure (Archive 2021),blog,True,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-blog-archive-common-misconceptions-about-2fa-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-blog-archive-common-misconceptions-about-2fa-1200x630.png,assets/img/og/featured/ambisecure-blog-archive-common-misconceptions-about-2fa-1200x630.png,True,image/png,1200,630,46318,"Common second factors tested against phishing and interception, showing why only origin-bound hardware authenticators survive a credential-relay attack.","Common second factors tested against phishing and interception, showing why only origin-bound hardware authenticators survive a credential-relay attack.",unique,False,,Brand-consistent (generated featured art),
https://ambisecure.ambimat.com/blog/archive/consumer-biometrics-and-privacy/,https://ambisecure.ambimat.com/blog/archive/consumer-biometrics-and-privacy/,Consumer Biometrics &amp; Privacy | AmbiSecure (Archive 2020),blog,True,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-blog-archive-consumer-biometrics-and-privacy-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-blog-archive-consumer-biometrics-and-privacy-1200x630.png,assets/img/og/featured/ambisecure-blog-archive-consumer-biometrics-and-privacy-1200x630.png,True,image/png,1200,630,44825,"Two-column comparison of match-on-device against match-on-server, tracing an irreversible template to the secure element where AmbiSecure keeps the comparison.","Two-column comparison of match-on-device against match-on-server, tracing an irreversible template to the secure element where AmbiSecure keeps the comparison.",unique,False,,Brand-consistent (generated featured art),
https://ambisecure.ambimat.com/blog/archive/cyber-attacks-in-india-part-1/,https://ambisecure.ambimat.com/blog/archive/cyber-attacks-in-india-part-1/,Cyber Attacks in India (Archive 2021) — AmbiSecure Blog,blog,True,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-blog-archive-cyber-attacks-in-india-part-1-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-blog-archive-cyber-attacks-in-india-part-1-1200x630.png,assets/img/og/featured/ambisecure-blog-archive-cyber-attacks-in-india-part-1-1200x630.png,True,image/png,1200,630,52474,"Landmark Indian banking and identity incidents converging on one shared root: secrets a person could hand over, and access paths that nothing attested.","Landmark Indian banking and identity incidents converging on one shared root: secrets a person could hand over, and access paths that nothing attested.",unique,False,,Brand-consistent (generated featured art),
https://ambisecure.ambimat.com/blog/archive/cyber-attacks-in-india-part-2/,https://ambisecure.ambimat.com/blog/archive/cyber-attacks-in-india-part-2/,Cyber Attacks in India – Part 2 (Archive 2021) — AmbiSecure Blog,blog,True,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-blog-archive-cyber-attacks-in-india-part-2-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-blog-archive-cyber-attacks-in-india-part-2-1200x630.png,assets/img/og/featured/ambisecure-blog-archive-cyber-attacks-in-india-part-2-1200x630.png,True,image/png,1200,630,53450,"Five Indian data-exposure incidents drawn as a perimeter row, each mapped to the access control it lacked, from an unsecured SMS server to a third-party KYC warehouse.","Five Indian data-exposure incidents drawn as a perimeter row, each mapped to the access control it lacked, from an unsecured SMS server to a third-party KYC warehouse.",unique,False,,Brand-consistent (generated featured art),
https://ambisecure.ambimat.com/blog/archive/cyber-attacks-in-india-part-3/,https://ambisecure.ambimat.com/blog/archive/cyber-attacks-in-india-part-3/,Cyber Attacks in India – Part 3 (Archive 2021) — AmbiSecure Blog,blog,True,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-blog-archive-cyber-attacks-in-india-part-3-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-blog-archive-cyber-attacks-in-india-part-3-1200x630.png,assets/img/og/featured/ambisecure-blog-archive-cyber-attacks-in-india-part-3-1200x630.png,True,image/png,1200,630,43703,"Disclosure-lag bars across five Indian consumer-data breaches, tracing the incident-response and credential-hygiene gaps that closed this archive series.","Disclosure-lag bars across five Indian consumer-data breaches, tracing the incident-response and credential-hygiene gaps that closed this archive series.",unique,False,,Brand-consistent (generated featured art),
https://ambisecure.ambimat.com/blog/archive/emv-certification-in-public-transport/,https://ambisecure.ambimat.com/blog/archive/emv-certification-in-public-transport/,EMV Certification in Public Transport | AmbiSecure (Archive 2020),blog,True,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-blog-archive-emv-certification-in-public-transport-1200x630.png,https://ambisecure.ambimat.com/assets/img/og/featured/ambisecure-blog-archive-emv-certification-in-public-transport-1200x630.png,assets/img/og/featured/ambisecure-blog-archive-emv-certification-in-public-transport-1200x630.png,True,image/png,1200,630,42080,"Certification ladder splitting EMV Level 1 hardware, Level 2 kernel and Level 3 brand testing, with the body that owns each rung in a transit rollout.","Certification ladder splitting EMV Level 1 hardware, Level 2 kernel and Level 3 brand testing, with the body that owns each rung in a transit rollout.",unique,False,,Brand-consistent (generated featured art),
